domain,severity,public_comment,private_comment
unexpected.singleuser.club,suspend,No-QAnon blocklist,No-QAnon blocklist
uuuu.bigguys.club,suspend,No-QAnon blocklist,No-QAnon blocklist
varishangout.net,suspend,No-QAnon blocklist,No-QAnon blocklist
video.nobodyhasthe.biz,suspend,No-QAnon blocklist,No-QAnon blocklist
video.pure-isp.eu,suspend,No-QAnon blocklist,No-QAnon blocklist
videos.lukesmith.xyz,suspend,No-QAnon blocklist,No-QAnon blocklist
videos.martinezperspective.org,suspend,No-QAnon blocklist,No-QAnon blocklist
vigilante.tv,suspend,No-QAnon blocklist,No-QAnon blocklist
voicenews.icu,suspend,No-QAnon blocklist,No-QAnon blocklist
weeaboo.space,suspend,No-QAnon blocklist,No-QAnon blocklist
whitepositive.media,suspend,No-QAnon blocklist,No-QAnon blocklist
wiki-tube.de,suspend,No-QAnon blocklist,No-QAnon blocklist
wuwox.com,suspend,No-QAnon blocklist,No-QAnon blocklist
xn--p1abe3d.xn--80asehdb,suspend,No-QAnon blocklist,No-QAnon blocklist
yggdrasil.social,suspend,No-QAnon blocklist,No-QAnon blocklist
